Disease|Description
bone spur of the calcaneous|A bone spur of the calcaneus (heel bone) is a bony outgrowth that can cause heel pain and discomfort, especially while walking. It is often associated with plantar fasciitis. Symptoms include sharp pain under the heel. Treatment includes rest, orthotic devices, physical therapy, and anti-inflammatory medications; surgery may be considered in severe cases.
von willebrand disease|Von Willebrand disease is a genetic bleeding disorder caused by a deficiency or dysfunction of von Willebrand factor, affecting blood clotting. Symptoms include frequent nosebleeds, easy bruising, and prolonged bleeding. Treatment includes desmopressin, clotting factor concentrates, and antifibrinolytic medications.
open wound of the back|An open wound of the back involves a break in the skin that may expose underlying tissues. Symptoms include bleeding, pain, and risk of infection. Treatment includes cleaning the wound, applying dressings, antibiotics if infected, and tetanus vaccination if needed.
heart block|Heart block is a condition where the electrical signals in the heart are delayed or blocked, leading to slow or irregular heartbeats. Symptoms may include dizziness, fatigue, fainting, and palpitations. Treatment depends on severity and may include a pacemaker to regulate heartbeat.
colonic polyp|Colonic polyps are growths on the inner lining of the colon that can be benign or precancerous. Symptoms are usually absent but can include rectal bleeding or changes in bowel habits. Treatment involves removal during colonoscopy and monitoring for recurrence.
magnesium deficiency|Magnesium deficiency can result from poor dietary intake, gastrointestinal losses, or certain medications. Symptoms include muscle cramps, weakness, fatigue, and abnormal heart rhythms. Treatment includes magnesium-rich foods, oral supplements, or intravenous magnesium in severe cases.
female infertility of unknown cause|Female infertility of unknown cause is diagnosed when no specific medical reason for infertility is identified. Symptoms include the inability to conceive after one year of trying. Treatment options include lifestyle changes, ovulation induction, intrauterine insemination (IUI), or in vitro fertilization (IVF).
pericarditis|Pericarditis is inflammation of the pericardium, the sac around the heart. Symptoms include sharp chest pain, fever, fatigue, and shortness of breath. Treatment includes anti-inflammatory drugs, colchicine, and sometimes corticosteroids; severe cases may require drainage if fluid accumulates.
attention deficit hyperactivity disorder (adhd)|ADHD is a neurodevelopmental disorder characterized by inattention, hyperactivity, and impulsiveness. Symptoms include difficulty focusing, forgetfulness, restlessness, and poor time management. Treatment includes behavioral therapy, medications like stimulants (methylphenidate), and educational support.
pulmonic valve disease|Pulmonic valve disease affects the valve that controls blood flow from the right ventricle to the lungs. Symptoms include fatigue, shortness of breath, and heart murmur. Treatment may involve monitoring, medications to manage symptoms, or surgical repair or replacement of the valve.
tietze syndrome|Tietze syndrome is a rare inflammatory condition causing chest wall pain and swelling at the costochondral junctions. Symptoms include localized pain and tenderness that may mimic heart attack. Treatment includes rest, NSAIDs, and corticosteroid injections in resistant cases.
cranial nerve palsy|Cranial nerve palsy is the loss of function in one of the twelve cranial nerves, often resulting in facial weakness, vision problems, or difficulty swallowing. Symptoms depend on the affected nerve. Treatment varies by cause and may include medications, physical therapy, or surgery.
injury to the arm|Injury to the arm can include fractures, sprains, or soft tissue damage. Symptoms include pain, swelling, limited movement, and bruising. Treatment depends on the type of injury and may include immobilization, ice, pain relief, physical therapy, or surgery.
conversion disorder|Conversion disorder involves neurological symptoms like paralysis or seizures that cannot be explained by medical conditions. Symptoms include sudden loss of function or movement, often linked to psychological stress. Treatment includes psychotherapy, physical therapy, and stress management.
complex regional pain syndrome|Complex regional pain syndrome is a chronic pain condition usually affecting a limb after injury. Symptoms include intense pain, swelling, skin changes, and reduced mobility. Treatment includes physical therapy, pain medications, nerve blocks, and sometimes psychological support.
otosclerosis|Otosclerosis is an abnormal bone growth in the middle ear that can lead to hearing loss. Symptoms include progressive hearing loss and sometimes tinnitus. Treatment includes hearing aids or surgery (stapedectomy) to replace the affected bone.
injury to the trunk|Injury to the trunk can involve the chest, abdomen, or back and may result from trauma. Symptoms vary based on affected structures and can include pain, swelling, bruising, and difficulty moving. Treatment ranges from rest and pain management to surgery in severe cases.
hypothyroidism|Hypothyroidism is a condition where the thyroid gland underproduces hormones, leading to a slowed metabolism. Symptoms include fatigue, weight gain, cold intolerance, and depression. Treatment involves daily use of synthetic thyroid hormone levothyroxine.
primary insomnia|Primary insomnia is difficulty falling or staying asleep not caused by other conditions. Symptoms include fatigue, irritability, poor concentration, and reduced daytime function. Treatment includes cognitive behavioral therapy for insomnia (CBT-I), sleep hygiene education, and sometimes medication.
lice|Lice are parasitic insects that infest the scalp or body, causing itching and irritation. Symptoms include intense itching, visible lice or nits, and sores from scratching. Treatment involves topical insecticides like permethrin, manual removal, and treating personal items to prevent reinfestation.
vitamin b12 deficiency|Vitamin B12 deficiency can result from poor diet, malabsorption, or autoimmune conditions. Symptoms include fatigue, numbness, memory problems, and anemia. Treatment includes dietary supplementation, oral or intramuscular vitamin B12 injections.
diabetes|Diabetes is a chronic condition affecting how the body processes blood sugar (glucose). Symptoms include increased thirst, frequent urination, fatigue, blurred vision, and slow wound healing. Treatment includes lifestyle changes, insulin or oral medications, blood sugar monitoring, and managing complications.
